2017-01-03 23:28:31.777 | INFO  | Thread-2   | Car{ 'Mickelson', Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}} speed: 39} is free now with new Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}
2017-01-03 23:33:04.563 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:33:04.564 | INFO  | main       | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} make an order.
2017-01-03 23:33:04.564 | INFO  | main       | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} make an order.
2017-01-03 23:33:04.565 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}} speed: 50}
2017-01-03 23:33:04.565 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} is waiting for a car: Car{ 'Ivanov', Location{'Baraidov,65',  SILENT_DISTRICT, x=-13, y=-13}} speed: 67}
2017-01-03 23:33:04.565 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} is waiting for a car: Car{ 'Kardi', Location{'Valori,46',  MARKET_DISTRICT, x=7, y=-7}} speed: 58}
2017-01-03 23:33:04.925 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:33:05.393 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} started the trip
2017-01-03 23:33:05.641 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:33:05.641 | INFO  | Thread-1   | Car{ 'Jackson', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}} speed: 50} is free now with new Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}
2017-01-03 23:33:06.794 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} started the trip
2017-01-03 23:33:09.910 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} was served
2017-01-03 23:33:09.910 | INFO  | Thread-2   | Car{ 'Ivanov', Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}} speed: 67} is free now with new Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}
2017-01-03 23:33:09.984 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} was served
2017-01-03 23:33:09.984 | INFO  | Thread-3   | Car{ 'Kardi', Location{'Ultra,22',  MARKET_DISTRICT, x=100, y=-8}} speed: 58} is free now with new Location{'Ultra,22',  MARKET_DISTRICT, x=100, y=-8}
2017-01-03 23:35:52.555 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:35:52.557 | INFO  | main       | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} make an order.
2017-01-03 23:35:52.557 | INFO  | main       | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} make an order.
2017-01-03 23:35:52.557 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}} speed: 50}
2017-01-03 23:35:52.557 | INFO  | main       | Client  'Olga Malysheva', Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}} make an order.
2017-01-03 23:35:52.557 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} is waiting for a car: Car{ 'Ivanov', Location{'Baraidov,65',  SILENT_DISTRICT, x=-13, y=-13}} speed: 67}
2017-01-03 23:35:52.557 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} is waiting for a car: Car{ 'Kardi', Location{'Valori,46',  MARKET_DISTRICT, x=7, y=-7}} speed: 58}
2017-01-03 23:35:52.557 | INFO  | main       | Client  'Dima Buiny', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}} make an order.
2017-01-03 23:35:52.557 | INFO  | Thread-4   | Client  'Olga Malysheva', Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}} is waiting for a car: Car{ 'Lagerd', Location{'Trade,7',  LAKE_DISTRICT, x=10, y=13}} speed: 61}
2017-01-03 23:35:52.557 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}} is waiting for a car: Car{ 'Johnatan', Location{'Gursky,7',  MARKET_DISTRICT, x=3, y=-5}} speed: 48}
2017-01-03 23:35:52.664 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}} started the trip
2017-01-03 23:35:52.917 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:35:53.386 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} started the trip
2017-01-03 23:35:53.632 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:35:53.632 | INFO  | Thread-1   | Car{ 'Jackson', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}} speed: 50} is free now with new Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}
2017-01-03 23:35:54.729 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  MARKET_DISTRICT, x=2, y=-7}} was served
2017-01-03 23:35:54.729 | INFO  | Thread-5   | Car{ 'Johnatan', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} speed: 48} is free now with new Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}
2017-01-03 23:35:54.762 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} started the trip
2017-01-03 23:35:55.396 | INFO  | Thread-4   | Client  'Olga Malysheva', Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}} started the trip
2017-01-03 23:35:57.902 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Victory,58',  SILENT_DISTRICT, x=-1, y=-16}} was served
2017-01-03 23:35:57.902 | INFO  | Thread-2   | Car{ 'Ivanov', Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}} speed: 67} is free now with new Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}
2017-01-03 23:35:57.952 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=45, y=-8}} was served
2017-01-03 23:35:57.952 | INFO  | Thread-3   | Car{ 'Kardi', Location{'Ultra,22',  MARKET_DISTRICT, x=100, y=-8}} speed: 58} is free now with new Location{'Ultra,22',  MARKET_DISTRICT, x=100, y=-8}
2017-01-03 23:35:58.607 | INFO  | Thread-4   | Client  'Olga Malysheva', Location{'Downing,9',  LAKE_DISTRICT, x=56, y=20}} was served
2017-01-03 23:35:58.607 | INFO  | Thread-4   | Car{ 'Lagerd', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} speed: 61} is free now with new Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}
2017-01-03 23:50:28.025 | FATAL | main       | java.nio.file.NoSuchFileException: input\locationData.txt
2017-01-03 23:51:10.470 | FATAL | main       | java.nio.file.NoSuchFileException: input\locationData.txt
2017-01-03 23:51:28.308 | FATAL | main       | java.nio.file.NoSuchFileException: input\locationData.txt
2017-01-03 23:52:02.292 | FATAL | main       | java.nio.file.NoSuchFileException: input\locationData.txt
2017-01-03 23:52:46.685 | FATAL | main       | java.nio.file.NoSuchFileException: input\locationData.txt.txt
2017-01-03 23:52:58.738 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:52:58.739 | INFO  | main       | Client  'Jack Richardson', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} make an order.
2017-01-03 23:52:58.739 | INFO  | main       | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} make an order.
2017-01-03 23:52:58.739 | INFO  | main       | Client  'Olga Malysheva', Location{'Downing,9',  MARKET_DISTRICT, x=45, y=-56}} make an order.
2017-01-03 23:52:58.739 | INFO  | main       | Client  'Dima Buiny', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} make an order.
2017-01-03 23:52:58.739 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}} speed: 50}
2017-01-03 23:52:58.739 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} is waiting for a car: Car{ 'Kardi', Location{'Valori,46',  MARKET_DISTRICT, x=7, y=-7}} speed: 58}
2017-01-03 23:52:58.739 | INFO  | main       | Client  'Alex Sipov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} make an order.
2017-01-03 23:52:58.739 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} is waiting for a car: Car{ 'Rocket', Location{'Stahansky,8',  DOWNTOWN, x=-5, y=5}} speed: 47}
2017-01-03 23:52:58.740 | INFO  | main       | Client  'Andrew Karsky', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:52:58.740 | INFO  | Thread-4   | Client  'Olga Malysheva', Location{'Downing,9',  MARKET_DISTRICT, x=45, y=-56}} is waiting for a car: Car{ 'Johnatan', Location{'Gursky,7',  MARKET_DISTRICT, x=3, y=-5}} speed: 48}
2017-01-03 23:52:58.740 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} is waiting for a car: Car{ 'Ivanov', Location{'Baraidov,65',  SILENT_DISTRICT, x=-13, y=-13}} speed: 67}
2017-01-03 23:52:58.740 | INFO  | Thread-6   | Client  'Alex Sipov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} is waiting for a car: Car{ 'Lagerd', Location{'Trade,7',  LAKE_DISTRICT, x=10, y=13}} speed: 61}
2017-01-03 23:52:58.740 | INFO  | Thread-7   | Client  'Andrew Karsky', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Brown', Location{'Malevich,14',  DOWNTOWN, x=-6, y=7}} speed: 53}
2017-01-03 23:52:58.975 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} started the trip
2017-01-03 23:52:59.100 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:52:59.131 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} started the trip
2017-01-03 23:52:59.310 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} started the trip
2017-01-03 23:52:59.323 | INFO  | Thread-7   | Client  'Andrew Karsky', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:52:59.757 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:52:59.757 | INFO  | Thread-1   | Car{ 'Jackson', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} speed: 50} is free now with new Location{'Victory,58',  DOWNTOWN, x=-8, y=9}
2017-01-03 23:52:59.782 | INFO  | Thread-6   | Client  'Alex Sipov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} started the trip
2017-01-03 23:52:59.869 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} was served
2017-01-03 23:52:59.869 | INFO  | Thread-3   | Car{ 'Rocket', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} speed: 47} is free now with new Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}
2017-01-03 23:53:00.111 | INFO  | Thread-7   | Client  'Andrew Karsky', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:53:00.111 | INFO  | Thread-7   | Car{ 'Brown', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} speed: 53} is free now with new Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}
2017-01-03 23:53:00.172 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} was served
2017-01-03 23:53:00.172 | INFO  | Thread-2   | Car{ 'Kardi', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} speed: 58} is free now with new Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}
2017-01-03 23:53:00.564 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} was served
2017-01-03 23:53:00.564 | INFO  | Thread-5   | Car{ 'Ivanov', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} speed: 67} is free now with new Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}
2017-01-03 23:53:01.418 | INFO  | Thread-6   | Client  'Alex Sipov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} was served
2017-01-03 23:53:01.418 | INFO  | Thread-6   | Car{ 'Lagerd', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} speed: 61} is free now with new Location{'Victory,58',  DOWNTOWN, x=-8, y=9}
2017-01-03 23:53:01.911 | INFO  | Thread-4   | Client  'Olga Malysheva', Location{'Downing,9',  MARKET_DISTRICT, x=45, y=-56}} started the trip
2017-01-03 23:53:08.529 | INFO  | Thread-4   | Client  'Olga Malysheva', Location{'Downing,9',  MARKET_DISTRICT, x=45, y=-56}} was served
2017-01-03 23:53:08.529 | INFO  | Thread-4   | Car{ 'Johnatan', Location{'Ultra,22',  DOWNTOWN, x=-68, y=23}} speed: 48} is free now with new Location{'Ultra,22',  DOWNTOWN, x=-68, y=23}
2017-01-03 23:57:28.462 | INFO  | main       | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:57:28.463 | INFO  | main       | Client  'Jack Richardson', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} make an order.
2017-01-03 23:57:28.463 | INFO  | main       | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} make an order.
2017-01-03 23:57:28.463 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Jackson', Location{'Azgur,3',  LAKE_DISTRICT, x=1, y=1}} speed: 50}
2017-01-03 23:57:28.463 | INFO  | main       | Client  'Olga Malysheva', Location{'Downing,9',  MARKET_DISTRICT, x=45, y=-56}} make an order.
2017-01-03 23:57:28.463 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} is waiting for a car: Car{ 'Kardi', Location{'Valori,46',  MARKET_DISTRICT, x=7, y=-7}} speed: 58}
2017-01-03 23:57:28.464 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} is waiting for a car: Car{ 'Rocket', Location{'Stahansky,8',  DOWNTOWN, x=-5, y=5}} speed: 47}
2017-01-03 23:57:28.464 | INFO  | main       | Client  'Dima Buiny', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} make an order.
2017-01-03 23:57:28.464 | INFO  | main       | Client  'Alex Sipov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} make an order.
2017-01-03 23:57:28.464 | INFO  | Thread-4   | Client  'Olga Malysheva', Location{'Downing,9',  MARKET_DISTRICT, x=45, y=-56}} is waiting for a car: Car{ 'Johnatan', Location{'Gursky,7',  MARKET_DISTRICT, x=3, y=-5}} speed: 48}
2017-01-03 23:57:28.464 | INFO  | main       | Client  'Andrew Karsky', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} make an order.
2017-01-03 23:57:28.464 | INFO  | main       | Client  'Vlad Kozlov', Location{'Ultra,22',  DOWNTOWN, x=-68, y=23}} make an order.
2017-01-03 23:57:28.464 | INFO  | main       | Client  'Konstantin Politay', Location{'Bystrova,44',  SILENT_DISTRICT, x=-28, y=-19}} make an order.
2017-01-03 23:57:28.464 | INFO  | main       | Client  'Amir Guldy', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} make an order.
2017-01-03 23:57:28.464 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} is waiting for a car: Car{ 'Ivanov', Location{'Baraidov,65',  SILENT_DISTRICT, x=-13, y=-13}} speed: 67}
2017-01-03 23:57:28.465 | INFO  | Thread-6   | Client  'Alex Sipov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} is waiting for a car: Car{ 'Lagerd', Location{'Trade,7',  LAKE_DISTRICT, x=10, y=13}} speed: 61}
2017-01-03 23:57:28.465 | INFO  | Thread-7   | Client  'Andrew Karsky', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} is waiting for a car: Car{ 'Brown', Location{'Malevich,14',  DOWNTOWN, x=-6, y=7}} speed: 53}
2017-01-03 23:57:28.465 | INFO  | Thread-8   | Client  'Vlad Kozlov', Location{'Ultra,22',  DOWNTOWN, x=-68, y=23}} is waiting for a car: Car{ 'Mickelson', Location{'Panamarenko,8',  SILENT_DISTRICT, x=-2, y=-4}} speed: 39}
2017-01-03 23:57:28.699 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} started the trip
2017-01-03 23:57:28.824 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:57:28.855 | INFO  | Thread-5   | Client  'Dima Buiny', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} started the trip
2017-01-03 23:57:29.035 | INFO  | Thread-2   | Client  'Jack Richardson', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} started the trip
2017-01-03 23:57:29.048 | INFO  | Thread-7   | Client  'Andrew Karsky', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} started the trip
2017-01-03 23:57:29.482 | INFO  | Thread-1   | Client  'Mike Johnson', Location{'Sadovaya,6',  LAKE_DISTRICT, x=5, y=7}} was served
2017-01-03 23:57:29.482 | INFO  | Thread-1   | Car{ 'Jackson', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} speed: 50} is free now with new Location{'Victory,58',  DOWNTOWN, x=-8, y=9}
2017-01-03 23:57:29.484 | INFO  | Thread-10  | Client  'Amir Guldy', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} is waiting for a car: Car{ 'Jackson', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} speed: 50}
2017-01-03 23:57:29.507 | INFO  | Thread-6   | Client  'Alex Sipov', Location{'Karastoyznova,97',  MARKET_DISTRICT, x=16, y=-3}} started the trip
2017-01-03 23:57:29.593 | INFO  | Thread-3   | Client  'Vadim Ivanov', Location{'Victory,58',  DOWNTOWN, x=-8, y=9}} was served
2017-01-03 23:57:29.593 | INFO  | Thread-3   | Car{ 'Rocket', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} speed: 47} is free now with new Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}
2017-01-03 23:57:29.595 | INFO  | Thread-9   | Client  'Konstantin Politay', Location{'Bystrova,44',  SILENT_DISTRICT, x=-28, y=-19}} is waiting for a car: Car{ 'Rocket', Location{'Nab,12',  SILENT_DISTRICT, x=-8, y=-10}} speed: 47}
